name,id,guid,type,icon,deathTime,abilityName,abilityGuid,abilityType,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Arathil,81,150634218,Warlock,Warlock-Affliction,75880,Scorching Bomb,401621,4,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,98927,Dazzled,403202,64,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,130685,Lost In Space,404008,32,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,273712,Embrace of Nothingness,405340,32,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,281788,,,,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,284875,Void Surge,404154,32,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,284967,Oblivion,401952,32,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,285864,Void Surge,404154,32,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,286074,Void Surge,404154,32,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,286074,Void Surge,404154,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,286082,Void Surge,404154,32,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,286082,,,,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,286345,Oblivion,401952,32,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,286754,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,287895,Void Surge,404154,32,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,288215,Oblivion,401952,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,288329,Destabilize,413070,1,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,288400,Oblivion,401952,32,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,288504,Oblivion,401952,32,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,292287,Scouring Eternity,403625,32,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,294507,,,,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,296288,Melee,1,1,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,74914,Scorching Bomb,401621,4,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,74914,Scorching Bomb,401621,4,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,81214,,,,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,81779,,,,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,81833,,,,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,81849,,,,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,82181,,,,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,82630,,,,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,83592,,,,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,83886,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,84323,,,,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,84880,,,,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,85606,,,,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,85624,Blazing Blast,401340,4,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,85693,,,,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,86008,,,,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,86124,Melee,1,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,87628,,,,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,92009,Scorching Detonation,401525,4,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,185485,Lost In Space,404008,32,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,285619,Void Slash,408431,32,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,292664,Scouring Eternity,403625,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,312183,,,,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,390184,Oblivion,401952,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,391180,Oblivion,401952,32,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,395169,Oblivion,401952,32,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,404227,Destabilize,413070,1,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,405253,Destabilize,413070,1,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,409273,Cosmic Ascension,403771,32,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,409321,Oblivion,401952,32,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,409649,Astral Formation,403510,1,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,410211,Melee,1,1,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,411092,,,,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,411451,Melee,1,1,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,416354,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,416539,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,416618,Blasting Scream,404754,64,2685,2685,5,False,28/09/23
