name,id,guid,type,icon,deathTime,abilityName,abilityGuid,abilityType,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Arathil,81,150634218,Warlock,Warlock-Affliction,75880,Scorching Bomb,401621,4,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,98927,Dazzled,403202,64,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,130685,Lost In Space,404008,32,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,74914,Scorching Bomb,401621,4,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,74914,Scorching Bomb,401621,4,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,81214,,,,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,185485,Lost In Space,404008,32,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,285619,Void Slash,408431,32,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,292664,Scouring Eternity,403625,32,13,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,74275,Scorching Detonation,401525,4,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,178704,Lost In Space,404008,32,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,290381,Destabilize,413070,1,14,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,239913,Destabilize,413070,1,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,256402,,,,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,288974,Motes of Oblivion,406428,32,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,217586,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,238159,Destabilize,413070,1,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,246176,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,52757,Scorching Detonation,401525,4,17,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,70546,Echoing Howl,410247,32,17,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,75851,Disintegrated,401801,64,17,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,227611,Melee,1,1,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,274235,Embrace of Nothingness,405340,32,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,287704,Void Slash,408431,32,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,131115,Lost In Space,404008,32,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,140467,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,164963,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,230287,,,,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,242134,,,,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,255487,Cosmic Ascension,403771,32,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,261610,,,,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,285090,Destabilize,413070,1,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,285809,Oblivion,401952,32,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,284524,Void Blast,408457,32,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
