name,id,guid,type,icon,itemLevel,total,abilitiesName,abilitiesTotal,abilitiesType,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Kryxoria,79,182687721,Priest,Priest-Holy,445,7,Desperate Prayer,3,2,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,445,7,Fade,3,32,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,445,7,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,8,Barkskin,3,8,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,8,Renewal,2,8,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,8,Survival Instincts,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,8,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,447,8,Refreshing Healing Potion,1,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,4,Survival of the Fittest,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,4,Exhilaration,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,4,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,445,4,Refreshing Healing Potion,1,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Shield of Vengeance,4,2,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Divine Protection,2,2,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,7,Obsidian Scales,4,12,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,7,Renewing Blaze,2,4,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,445,7,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,8,Spell Reflection,3,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,8,Impending Victory,2,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,8,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,8,Enraged Regeneration,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,444,8,Refreshing Healing Potion,1,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Anti-Magic Shell,5,32,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Lichborne,3,32,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Icebound Fortitude,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Refreshing Healing Potion,1,16,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Fade,4,32,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Desperate Prayer,2,2,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Healthstone,1,1,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
