name,id,guid,type,icon,total,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Nugera,74,181593749,Evoker,Evoker-Augmentation,51663825,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,38851824,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,13116589,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,41206555,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,2104775,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,47720111,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,34293425,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,4690603,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,44410530,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,36566320,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,37834507,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,6970667,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,45534499,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,47838340,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,3081983,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,37644894,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,36384461,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,19680856,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,26290995,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,39957021,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,18680790,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,11730034,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,10729607,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,9312314,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,17311166,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,1228488,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,9918349,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,12589325,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,1351240,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,12634535,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,10715140,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,1387514,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,10064689,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,12973105,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,10972930,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,821333,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,12601434,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,8084047,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,6411444,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,11091787,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,63322709,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,54528989,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,51570696,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,49095113,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,3415921,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,22752926,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,45390923,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,55983952,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,7207776,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,59222795,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,47665961,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,7774899,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,60444843,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,57791655,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,50409034,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,4647434,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,48950302,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,30355436,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,31341390,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,55625530,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,50167899,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,37109507,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,45891936,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,39138852,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,25678323,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,3628878,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,37957290,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,47249942,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,6470421,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,54222264,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,38913717,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,7679984,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,44180978,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,49546687,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,39931283,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,3470418,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,37905780,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,21576442,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,26719170,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,41255098,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,51273631,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,41121423,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,42284978,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,45715377,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,3097018,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,38669834,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,38094643,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,45678978,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,6939852,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,50154249,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,39075421,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,7548050,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,46902894,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,44503400,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,42820662,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,3848841,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,36840479,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,20662203,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,27985901,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,38529230,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,53519985,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,32887459,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,39763295,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,36837792,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,3294696,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,42543899,2685,2685,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,34134979,2685,2685,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,6880078,2685,2685,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,38812568,2685,2685,5,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,52321221,2685,2685,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,29918022,2685,2685,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,8376931,2685,2685,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,37750861,2685,2685,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,34143448,2685,2685,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,40313748,2685,2685,5,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,2595355,2685,2685,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,31739504,2685,2685,5,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,18238468,2685,2685,5,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,20467313,2685,2685,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,35226259,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,18107895,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,12036367,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,11210784,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,8044364,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,959412,2685,2685,5,False,28/09/23
