name,id,guid,type,icon,total,pullId,pullCode,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,19680856,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,47838340,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,41206555,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,47720111,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,38851824,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,2104775,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,6970667,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,39957021,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,34293425,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,13116589,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,36384461,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,44410530,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,45534499,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,37644894,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,37834507,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,51663825,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,4690603,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,False,28/09/23
