name,id,guid,type,icon,itemLevel,total,abilitiesName,abilitiesTotal,abilitiesType,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,5,Obsidian Scales,2,12,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,5,Renewing Blaze,2,4,2685,2685,5,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,445,5,Refreshing Healing Potion,1,16,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Shield of Vengeance,4,2,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Divine Protection,2,2,2685,2685,5,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,444,7,Healthstone,1,1,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Fade,4,32,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Desperate Prayer,2,2,2685,2685,5,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,446,7,Healthstone,1,1,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,8,Fade,4,32,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,8,Desperate Prayer,2,2,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,8,Refreshing Healing Potion,1,16,2685,2685,5,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,445,8,Healthstone,1,1,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,5,Barkskin,3,8,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,5,Renewal,1,8,2685,2685,5,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,446,5,Healthstone,1,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Anti-Magic Shell,5,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Lichborne,3,32,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Icebound Fortitude,1,1,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Refreshing Healing Potion,1,16,2685,2685,5,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,445,11,Healthstone,1,1,2685,2685,5,False,28/09/23
