targetName,amount,mitigated,unmitigatedAmount,absorbed
Kryxoria,252803,50213,315138,12122
Lefox,234260,67628,313714,10544
Wajpcieto,228930,75366,316150,3811
Gunqer,226243,82814,313622,3508
Màmbà,219456,89711,313177,3392
Meeow,217828,90009,313647,4702
Koozkie,217811,85346,315822,6832
Bärman,216842,90167,317588,4584
Shlauffu,216674,66095,314406,21332
Nugera,216366,74257,313955,21515
Simcmyass,214861,83344,309023,0
Oprychbartek,214574,56144,291859,21141
Prohus,214554,73220,314275,22814
Arathil,213676,65871,315864,32236
Qquo,211529,78829,313916,16232
Catherinee,208030,97898,315534,3323
Cebulaczyna,207837,65757,290497,5193
Lorellion,205613,99314,315155,1596
Grubi,204912,92159,313409,16284
Killeen,203039,79089,313987,22919
Pepko,198115,111617,315100,689
Magsoneku,170616,112907,315207,31684
Peanutmage,169808,112066,315254,30552
Klejnotnilu,149460,62069,306823,95294
Pazuzell,123337,64655,188868,876
Owsianko,120748,74415,303233,107487
