targetName,amount,mitigated,unmitigatedAmount,absorbed
Kryxoria,251905,50388,315144,12851
Lefox,233338,67990,313277,11950
Wajpcieto,231921,75468,315645,4336
Gunqer,226099,82795,313731,3716
Simcmyass,224346,84677,309023,0
Bärman,222372,90425,317551,4754
Màmbà,222027,90939,317079,3545
Shlauffu,219552,66174,314443,21671
Cebulaczyna,219307,69430,306792,5547
Koozkie,217811,85346,315822,6832
Meeow,216844,91294,313428,5290
Prohus,216750,73084,314288,21733
Nugera,216483,74298,313960,21304
Oprychbartek,216052,56211,290925,18663
Arathil,212243,67308,315951,34671
Grubi,211512,87552,313385,14265
Qquo,210520,79898,313475,17741
Lorellion,210436,99543,314904,1202
Catherinee,208284,97401,315476,3387
Killeen,201868,79969,314057,23824
Pepko,199936,112165,315237,762
Peanutmage,171120,112141,314976,30323
Magsoneku,170616,112907,315207,31684
Klejnotnilu,146449,62114,306469,97906
Pazuzell,122525,64207,187638,906
Owsianko,117377,74782,302837,110306
