targetName,amount,mitigated,unmitigatedAmount,absorbed
Simcmyass,221840,83423,309023,0
Bärman,111337,83707,309023,0
Lorellion,97240,85201,309023,0
Pepko,75513,92891,309023,0
Meeow,68935,71805,309023,0
Qquo,52450,40282,309023,0
Koozkie,43673,53525,309023,0
Shlauffu,41591,21562,309023,0
Magsoneku,39002,93641,309023,0
Grubi,35740,62731,309023,0
Wajpcieto,35617,53043,309023,0
Màmbà,33968,72891,309023,0
Pazuzell,7957,41162,129981,0
Killeen,176,37639,309023,0
Catherinee,1,79494,309023,0
Klejnotnilu,0,43359,262670,0
Owsianko,0,34143,262670,0
Cebulaczyna,0,0,0,0
Gunqer,0,65552,309023,0
Arathil,0,33936,309023,0
Peanutmage,0,69322,309023,0
Prohus,0,40407,309023,0
Kryxoria,0,30743,309023,0
Nugera,0,36814,309023,0
Lefox,0,33391,309023,0
Oprychbartek,0,0,0,0
