targetName,amount,mitigated,unmitigatedAmount,absorbed
Owsianko,62185216,38323834,156165070,55355961
Klejnotnilu,46033825,19117346,94501572,29350401
Pazuzell,40331247,21142043,61759685,286395
Kryxoria,35645223,7080007,44434452,1709222
Prohus,33255807,11349064,48712692,3536170
Gunqer,28280338,10351707,39202780,438446
Shlauffu,28167663,8592319,40872730,2773189
Nugera,27694900,9504950,40186300,2753879
Catherinee,22051220,10377179,33446621,352286
Cebulaczyna,19536717,6181168,27306697,488112
Màmbà,18653753,7625466,26620038,288300
Arathil,17948749,5533172,26532540,2707795
Killeen,16040045,6248037,24804951,1810621
Wajpcieto,15109412,4974174,20865890,251515
Peanutmage,13584665,8965254,25220289,2444172
Lorellion,13159202,6356088,20169903,102176
Pepko,12481227,7031883,19851323,43411
Lefox,11947254,3449050,15999395,537728
Oprychbartek,10514114,2751068,14301071,1035889
Qquo,9941858,3704963,14754043,762883
Koozkie,7405585,2901770,10737932,232282
Grubi,7171919,3225553,10969311,569950
Bärman,6071580,2524664,8892460,128349
Meeow,5881349,2430234,8468456,126949
Magsoneku,2900476,1919416,5358518,538626
Simcmyass,1074306,416720,1545115,0
