targetName,amount,mitigated,unmitigatedAmount,absorbed
Owsianko,55166997,35147666,142333522,51843863
Klejnotnilu,43788166,18572207,91634352,29273979
Pazuzell,38717939,20289329,59293663,286395
Kryxoria,33503378,6701586,41914186,1709222
Prohus,32729232,11035626,47457486,3281758
Nugera,26843841,9212946,38931094,2641736
Shlauffu,26785370,8073286,38362021,2643807
Gunqer,26679666,9769807,37020208,438446
Catherinee,21661555,10129684,32809461,352286
Cebulaczyna,19298985,6109877,26997674,488112
Màmbà,17984214,7366091,25683412,287137
Arathil,16130481,5115416,24012274,2634979
Killeen,15341931,6077629,23868325,1810621
Wajpcieto,13451428,4377122,18307396,251515
Peanutmage,12662910,8298401,23308215,2243913
Pepko,11396343,6393395,17968514,43411
Lorellion,10942698,5176211,16375020,62511
Lefox,10500189,3059555,14097472,537728
Oprychbartek,10154430,2641896,13673468,877142
Qquo,9052347,3435602,13479426,762883
Koozkie,7405585,2901770,10737932,232282
Grubi,6979882,2889202,10341708,470735
Bärman,6004053,2441478,8573880,128349
Meeow,5204258,2191066,7522273,126949
Magsoneku,2900476,1919416,5358518,538626
Simcmyass,673039,254030,927069,0
