name,id,guid,type,icon,itemLevel,total,abilitiesName,abilitiesTotal,abilitiesType,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Kryxoria,168,182687721,Priest,Priest-Holy,445,2,Fade,1,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Kryxoria,168,182687721,Priest,Priest-Holy,445,2,Desperate Prayer,1,2,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Prohus,160,181500240,Evoker,Evoker-Augmentation,445,3,Obsidian Scales,1,12,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Prohus,160,181500240,Evoker,Evoker-Augmentation,445,3,Renewing Blaze,1,4,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Prohus,160,181500240,Evoker,Evoker-Augmentation,445,3,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,445,4,Lichborne,1,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,445,4,Healthstone,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,445,4,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,445,4,Anti-Magic Shell,1,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Shlauffu,200,182304349,Priest,Priest-Shadow,446,5,Fade,3,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Shlauffu,200,182304349,Priest,Priest-Shadow,446,5,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Shlauffu,200,182304349,Priest,Priest-Shadow,446,5,Desperate Prayer,1,2,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Gunqer,253,118902570,Druid,Druid-Restoration,446,4,Barkskin,2,8,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Gunqer,253,118902570,Druid,Druid-Restoration,446,4,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Gunqer,253,118902570,Druid,Druid-Restoration,446,4,Renewal,1,8,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Catherinee,170,180636202,Monk,Monk-Windwalker,444,3,Diffuse Magic,1,8,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Catherinee,170,180636202,Monk,Monk-Windwalker,444,3,Touch of Karma,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Catherinee,170,180636202,Monk,Monk-Windwalker,444,3,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Màmbà,192,183169964,Paladin,Paladin-Holy,446,5,Divine Protection,2,2,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Màmbà,192,183169964,Paladin,Paladin-Holy,446,5,Healthstone,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Màmbà,192,183169964,Paladin,Paladin-Holy,446,5,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Màmbà,192,183169964,Paladin,Paladin-Holy,446,5,Lay on Hands,1,2,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Nugera,203,181593749,Evoker,Evoker-Augmentation,445,2,Renewing Blaze,1,4,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Nugera,203,181593749,Evoker,Evoker-Augmentation,445,2,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,445,5,Fade,2,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,445,5,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,445,5,Dispersion,1,32,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,445,5,Desperate Prayer,1,2,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Grubi,164,180755381,Rogue,Rogue-Subtlety,445,3,Refreshing Healing Potion,1,16,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
Grubi,164,180755381,Rogue,Rogue-Subtlety,445,3,Feint,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,0,False,27/09/23
