name,id,guid,type,icon,itemLevel,total,abilitiesName,abilitiesTotal,abilitiesType,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Catherinee,170,180636202,Monk,Monk-Windwalker,444,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Pazuzell,153,140773839,DemonHunter,DemonHunter-Vengeance,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Killeen,167,181540927,Evoker,Evoker-Devastation,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Bärman,157,181432362,Warrior,Warrior-Fury,444,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Grubi,164,180755381,Rogue,Rogue-Subtlety,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Peanutmage,166,180616658,Mage,Mage-Fire,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Klejnotnilu,159,182929355,DeathKnight,DeathKnight-Blood,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Nugera,203,181593749,Evoker,Evoker-Augmentation,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Arathil,154,150634218,Warlock,Warlock-Affliction,446,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Cebulaczyna,163,121577266,Hunter,Hunter-Marksmanship,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Prohus,160,181500240,Evoker,Evoker-Augmentation,445,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Shlauffu,200,182304349,Priest,Priest-Shadow,446,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Meeow,194,143983765,Druid,Druid-Feral,447,1,Elemental Potion of Ultimate Power,1,1,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
