name,id,guid,type,icon,total,encounterId,encounterName,encounterDifficulty,encounterKill,encounterDate
Arathil,85,150634218,Warlock,Warlock-Affliction,4913994,2685,2685,5,False,04/10/23
Catherinee,105,180636202,Monk,Monk-Windwalker,2708339,2685,2685,5,False,04/10/23
Klejnotnilu,89,182929355,DeathKnight,DeathKnight-Blood,30691290,2685,2685,5,False,04/10/23
Pazuzell,84,140773839,DemonHunter,DemonHunter-Vengeance,14362056,2685,2685,5,False,04/10/23
Prohus,91,181500240,Evoker,Evoker-Preservation,43569009,2685,2685,5,False,04/10/23
Qquo,103,165177271,Priest,Priest-Shadow,7565086,2685,2685,5,False,04/10/23
Owsianko,100,180528313,DeathKnight,DeathKnight-Unholy,4045116,2685,2685,5,False,04/10/23
Kryxoria,133,182687721,Priest,Priest-Holy,41355032,2685,2685,5,False,04/10/23
Bärman,88,181432362,Warrior,Warrior-Fury,3595107,2685,2685,5,False,04/10/23
Lefox,129,175528845,Shaman,Shaman-Restoration,35157040,2685,2685,5,False,04/10/23
Killeen,102,181540927,Evoker,Evoker-Devastation,4316024,2685,2685,5,False,04/10/23
Grubi,94,180755381,Rogue,Rogue-Subtlety,1621585,2685,2685,5,False,04/10/23
Cebulaczyna,135,121577266,Hunter,Hunter-Marksmanship,1214159,2685,2685,5,False,04/10/23
Màmbà,99,183169964,Paladin,Paladin-Holy,47949876,2685,2685,5,False,04/10/23
Peanutmage,131,180616658,Mage,Mage-Fire,1730063,2685,2685,5,False,04/10/23
Meeow,95,143983765,Druid,Druid-Feral,3432145,2685,2685,5,False,04/10/23
Nugera,92,181593749,Evoker,Evoker-Augmentation,7276775,2685,2685,5,False,04/10/23
Shlauffu,104,182304349,Priest,Priest-Shadow,7870878,2685,2685,5,False,04/10/23
Pepko,93,178016999,Paladin,Paladin-Retribution,2432660,2685,2685,5,False,04/10/23
Wajpcieto,96,162459010,Shaman,Shaman-Enhancement,918074,2685,2685,5,False,04/10/23
