Parse %,Name,Amount,Ilvl,Active,CPM,amtPrc,amtDesc,Date,WipeNr
,Shlauffu,12,446,9.31%,3.0,10.34,12,01/10/2023,1
,Lefox,9,444,4.30%,2.2,7.76,9,01/10/2023,1
,Qquo,9,445,5.97%,2.2,7.76,9,01/10/2023,1
,Peanutmage,9,445,3.20%,2.2,7.76,9,01/10/2023,1
,Grubi,9,445,1.40%,2.2,7.76,9,01/10/2023,1
,Meeow,8,447,6.33%,2.0,6.90,8,01/10/2023,1
,Killeen,7,445,3.68%,1.7,6.03,7,01/10/2023,1
,Arathil,7,446,0.00%,1.7,6.03,7,01/10/2023,1
,Bärman,7,444,8.41%,1.7,6.03,7,01/10/2023,1
,Owsianko,6,445,4.93%,1.5,5.17,6,01/10/2023,1
,Kryxoria,6,445,2.63%,1.5,5.17,6,01/10/2023,1
,Pepko,5,444,0.00%,1.2,4.31,5,01/10/2023,1
,Cebulaczyna,5,445,6.05%,1.2,4.31,5,01/10/2023,1
,Gunqer,4,446,0.91%,1.0,3.45,4,01/10/2023,1
,Catherinee,4,444,0.00%,1.0,3.45,4,01/10/2023,1
,Màmbà,3,446,0.00%,0.7,2.59,3,01/10/2023,1
,Nugera,3,445,0.00%,0.7,2.59,3,01/10/2023,1
,Prohus,3,445,3.96%,0.7,2.59,3,01/10/2023,1
,Shlauffu,16,446,4.78%,2.7,10.06,16,01/10/2023,2
,Lefox,14,444,8.69%,2.4,8.81,14,01/10/2023,2
,Grubi,11,445,1.00%,1.9,6.92,11,01/10/2023,2
,Owsianko,11,445,2.63%,1.9,6.92,11,01/10/2023,2
,Qquo,10,445,1.62%,1.7,6.29,10,01/10/2023,2
,Peanutmage,10,445,2.20%,1.7,6.29,10,01/10/2023,2
,Arathil,9,446,0.00%,1.5,5.66,9,01/10/2023,2
,Killeen,9,445,2.50%,1.5,5.66,9,01/10/2023,2
,Bärman,9,444,3.98%,1.5,5.66,9,01/10/2023,2
,Gunqer,8,446,2.33%,1.4,5.03,8,01/10/2023,2
,Pepko,8,444,2.67%,1.4,5.03,8,01/10/2023,2
,Nugera,8,445,1.23%,1.4,5.03,8,01/10/2023,2
,Prohus,7,445,1.84%,1.2,4.40,7,01/10/2023,2
,Catherinee,7,444,0.00%,1.2,4.40,7,01/10/2023,2
,Meeow,7,447,2.04%,1.2,4.40,7,01/10/2023,2
,Kryxoria,6,445,1.29%,1.0,3.77,6,01/10/2023,2
,Màmbà,5,446,0.00%,0.8,3.14,5,01/10/2023,2
,Cebulaczyna,4,445,2.16%,0.7,2.52,4,01/10/2023,2
,Klejnotnilu,31728354,44.55%,445,96.44%,13.50,31.73m,,01/10/2023,3
,Pazuzell,17056366,52.50%,445,74.78%,7.26,17.06m,,01/10/2023,3
,Màmbà,13223924,24.86%,446,70.92%,5.63,13.22m,,01/10/2023,3
,Arathil,12477373,22.73%,446,82.59%,5.31,12.48m,,01/10/2023,3
,Prohus,11876734,23.59%,445,84.85%,5.05,11.88m,,01/10/2023,3
,Owsianko,11458177,16.82%,445,83.01%,4.88,11.46m,,01/10/2023,3
,Shlauffu,11245132,24.32%,446,83.26%,4.78,11.25m,,01/10/2023,3
,Cebulaczyna,10882114,25.26%,445,81.51%,4.63,10.88m,,01/10/2023,3
,Qquo,10231418,23.86%,445,78.92%,4.35,10.23m,,01/10/2023,3
,Kryxoria,10179996,24.90%,445,63.30%,4.33,10.18m,,01/10/2023,3
,Meeow,10132384,30.62%,447,70.55%,4.31,10.13m,,01/10/2023,3
,Nugera,10128681,30.27%,445,72.08%,4.31,10.13m,,01/10/2023,3
,Killeen,9821454,27.33%,445,67.96%,4.18,9.82m,,01/10/2023,3
,Lefox,9758376,32.12%,444,57.67%,4.15,9.76m,,01/10/2023,3
,Gunqer,9437745,33.69%,446,57.53%,4.02,9.44m,,01/10/2023,3
,Peanutmage,9391552,36.12%,445,92.09%,4.00,9.39m,,01/10/2023,3
,Catherinee,9260973,36.97%,444,68.59%,3.94,9.26m,,01/10/2023,3
,Pepko,9067756,37.31%,444,73.68%,3.86,9.07m,,01/10/2023,3
,Grubi,8865614,33.78%,445,65.67%,3.77,8.87m,,01/10/2023,3
,Bärman,8809826,33.74%,444,75.44%,3.75,8.81m,,01/10/2023,3
