Parse %,Name,Amount,Mitigated,Ilvl,Active,DTPS,amtPrc,amtDesc,Date,WipeNr
,Klejnotnilu,27209335,41.24%,445,92.96%,12.46,27.21m,,01/10/2023,1
,Pazuzell,18282975,55.39%,445,82.76%,8.37,18.28m,,01/10/2023,1
,Arathil,11975653,23.14%,446,99.13%,5.48,11.98m,,01/10/2023,1
,Qquo,11578371,27.78%,445,93.06%,5.30,11.58m,,01/10/2023,1
,Prohus,10877760,23.01%,445,87.02%,4.98,10.88m,,01/10/2023,1
,Màmbà,10779243,23.90%,446,91.22%,4.93,10.78m,,01/10/2023,1
,Kryxoria,10684056,23.05%,445,76.51%,4.89,10.68m,,01/10/2023,1
,Shlauffu,9906642,23.82%,446,97.67%,4.53,9.91m,,01/10/2023,1
,Cebulaczyna,9875640,28.09%,445,85.82%,4.52,9.88m,,01/10/2023,1
,Owsianko,9539751,22.10%,445,83.44%,4.37,9.54m,,01/10/2023,1
,Killeen,9521903,26.00%,445,77.51%,4.36,9.52m,,01/10/2023,1
,Peanutmage,9416835,35.31%,445,94.85%,4.31,9.42m,,01/10/2023,1
,Nugera,9277496,26.96%,445,75.98%,4.25,9.28m,,01/10/2023,1
,Pepko,9192709,35.91%,444,83.84%,4.21,9.19m,,01/10/2023,1
,Meeow,8809909,32.37%,447,81.51%,4.03,8.81m,,01/10/2023,1
,Gunqer,8753564,33.54%,446,66.21%,4.01,8.75m,,01/10/2023,1
,Bärman,8676445,34.01%,444,88.78%,3.97,8.68m,,01/10/2023,1
,Lefox,8658708,34.71%,444,65.09%,3.96,8.66m,,01/10/2023,1
,Grubi,7801630,33.25%,445,75.97%,3.57,7.80m,,01/10/2023,1
,Catherinee,7634776,36.77%,444,76.26%,3.49,7.63m,,01/10/2023,1
,Klejnotnilu,50234058,45.01%,445,97.37%,16.27,50.23m,,01/10/2023,2
,Pazuzell,25189213,47.45%,445,77.46%,8.16,25.19m,,01/10/2023,2
,Arathil,17436137,19.01%,446,91.43%,5.65,17.44m,,01/10/2023,2
,Owsianko,15642900,23.49%,445,79.47%,5.07,15.64m,,01/10/2023,2
,Prohus,14864229,27.23%,445,87.15%,4.81,14.86m,,01/10/2023,2
,Màmbà,13690585,25.34%,446,70.37%,4.43,13.69m,,01/10/2023,2
,Gunqer,13653239,34.01%,446,62.92%,4.42,13.65m,,01/10/2023,2
,Nugera,13467426,30.08%,445,77.42%,4.36,13.47m,,01/10/2023,2
,Killeen,13240620,24.35%,445,69.40%,4.29,13.24m,,01/10/2023,2
,Shlauffu,13223457,23.74%,446,82.31%,4.28,13.22m,,01/10/2023,2
,Lefox,12894435,33.35%,444,60.36%,4.18,12.89m,,01/10/2023,2
,Qquo,12622407,26.78%,445,79.21%,4.09,12.62m,,01/10/2023,2
,Peanutmage,12366476,30.99%,445,96.55%,4.01,12.37m,,01/10/2023,2
,Cebulaczyna,12356406,27.15%,445,75.53%,4.00,12.36m,,01/10/2023,2
,Grubi,11973784,34.84%,445,71.90%,3.88,11.97m,,01/10/2023,2
,Kryxoria,11542025,20.97%,445,59.82%,3.74,11.54m,,01/10/2023,2
,Bärman,11481511,32.91%,444,80.67%,3.72,11.48m,,01/10/2023,2
,Catherinee,11129854,37.33%,444,77.34%,3.60,11.13m,,01/10/2023,2
,Pepko,10999146,39.36%,444,74.99%,3.56,11.00m,,01/10/2023,2
,Meeow,10748887,33.89%,447,61.02%,3.48,10.75m,,01/10/2023,2
65,Kryxoria,39508629,35.34%,445,67,16.96,39.51m,,,01/10/2023,3
24,Màmbà,36725993,32.31%,446,24,15.76,36.73m,,,01/10/2023,3
9,Gunqer,35027557,33.51%,446,9,15.03,35.03m,,,01/10/2023,3
30,Lefox,32170327,32.71%,444,36,13.81,32.17m,,,01/10/2023,3
51,Klejnotnilu,24650493,36.81%,445,47,10.58,24.65m,,,01/10/2023,3
90,Pazuzell,13369320,41.50%,445,88,5.74,13.37m,,,01/10/2023,3
95,Prohus,7909958,28.08%,445,95,3.39,7.91m,,,01/10/2023,3
60,Shlauffu,6394471,41.65%,446,61,2.74,6.39m,,,01/10/2023,3
46,Qquo,5969808,38.59%,445,53,2.56,5.97m,,,01/10/2023,3
79,Nugera,5349761,32.64%,445,81,2.30,5.35m,,,01/10/2023,3
95,Arathil,5190716,29.42%,446,95,2.23,5.19m,,,01/10/2023,3
77,Owsianko,3931244,11.68%,445,80,1.69,3.93m,,,01/10/2023,3
87,Killeen,3556975,38.35%,445,88,1.53,3.56m,,,01/10/2023,3
43,Catherinee,2563653,39.44%,444,54,1.10,2.56m,,,01/10/2023,3
69,Meeow,2404943,38.52%,447,71,1.03,2.40m,,,01/10/2023,3
35,Bärman,2142272,46.38%,444,37,0.92,2.14m,,,01/10/2023,3
32,Pepko,1801109,32.15%,444,33,0.77,1.80m,,,01/10/2023,3
92,Grubi,1793388,14.25%,445,94,0.77,1.79m,,,01/10/2023,3
54,Peanutmage,1790089,5.89%,445,53,0.77,1.79m,,,01/10/2023,3
48,Cebulaczyna,756392,20.56%,445,49,0.32,756.4k,,,01/10/2023,3
