Parse %,Name,Amount,Mitigated,Ilvl,Active,DTPS,amtPrc,amtDesc,Date,WipeNr
,Pazuzell,171758,41.40%,445,0.00%,100.00,171.8k,,01/10/2023,1
,Klejnotnilu,688476,19.96%,445,0.00%,71.81,688.5k,,01/10/2023,2
,Owsianko,270219,15.18%,445,0.00%,28.19,270.2k,,01/10/2023,2
Grubi,1,11903$4.10%,01/10/2023,3
Nugera,1,11903$4.10%,01/10/2023,3
Pepko,1,4140$1.43%,01/10/2023,3
Arathil,1,2000$0.69%,01/10/2023,3
Killeen,2,2000$0.69%,01/10/2023,3
Peanutmage,1,2000$0.69%,01/10/2023,3
Qquo,1,2000$0.69%,01/10/2023,3
Bärman,1,1906$0.66%,01/10/2023,3
Catherinee,1,1906$0.66%,01/10/2023,3
Cebulaczyna,2,1906$0.66%,01/10/2023,3
Meeow,2,1906$0.66%,01/10/2023,3
Shlauffu,1,1891$0.65%,01/10/2023,3
Owsianko,1,1203$0.00%,01/10/2023,3
Kryxoria,1,938$0.00%,01/10/2023,3
Lefox,1,938$0.00%,01/10/2023,3
Prohus,1,938$0.00%,01/10/2023,3
Màmbà,1,326$0.00%,01/10/2023,3
Gunqer,1,284$0.00%,01/10/2023,3
Klejnotnilu,1,0$0.00%,01/10/2023,3
Pazuzell,1,0$0.00%,01/10/2023,3
