Parse %,Name,Amount,Overheal,Ilvl,Ilvl %,Active,HPS,amtPrc,amtDesc,Date,WipeNr
31,Gunqer,39326402,34.53%,446,30,18.31,39.33m,,,01/10/2023,1
65,Kryxoria,36951716,37.02%,445,67,17.21,36.95m,,,01/10/2023,1
26,Màmbà,34583106,29.29%,446,26,16.11,34.58m,,,01/10/2023,1
9,Lefox,23484661,36.16%,444,9,10.94,23.48m,,,01/10/2023,1
32,Klejnotnilu,20152343,36.72%,445,28,9.39,20.15m,,,01/10/2023,1
90,Pazuzell,13018211,31.96%,445,89,6.06,13.02m,,,01/10/2023,1
95,Prohus,6714891,23.89%,445,95,3.13,6.71m,,,01/10/2023,1
72,Qquo,6112890,28.02%,445,78,2.85,6.11m,,,01/10/2023,1
43,Shlauffu,5272139,37.11%,446,45,2.46,5.27m,,,01/10/2023,1
95,Arathil,5162052,26.80%,446,95,2.40,5.16m,,,01/10/2023,1
67,Nugera,4419804,31.19%,445,71,2.06,4.42m,,,01/10/2023,1
90,Killeen,3424616,40.16%,445,90,1.59,3.42m,,,01/10/2023,1
52,Owsianko,3367937,15.29%,445,59,1.57,3.37m,,,01/10/2023,1
81,Peanutmage,2341019,2.61%,445,80,1.09,2.34m,,,01/10/2023,1
54,Bärman,2237131,30.25%,444,56,1.04,2.24m,,,01/10/2023,1
70,Meeow,2196387,40.85%,447,76,1.02,2.20m,,,01/10/2023,1
17,Catherinee,1895715,43.78%,444,23,0.88,1.90m,,,01/10/2023,1
47,Pepko,1830362,25.32%,444,53,0.85,1.83m,,,01/10/2023,1
67,Grubi,1207309,20.07%,445,73,0.56,1.21m,,,01/10/2023,1
71,Cebulaczyna,1029438,11.73%,445,75,0.48,1.03m,,,01/10/2023,1
48,Màmbà,50832729,31.12%,446,47,17.00,50.83m,,,01/10/2023,2
16,Gunqer,48186966,32.25%,446,15,16.12,48.19m,,,01/10/2023,2
47,Kryxoria,47745317,35.61%,445,46,15.97,47.75m,,,01/10/2023,2
15,Lefox,37291515,33.61%,444,17,12.47,37.29m,,,01/10/2023,2
82,Klejnotnilu,35804355,33.81%,445,79,11.97,35.80m,,,01/10/2023,2
79,Pazuzell,14848752,40.73%,445,74,4.97,14.85m,,,01/10/2023,2
94,Prohus,8496560,31.71%,445,95,2.84,8.50m,,,01/10/2023,2
55,Qquo,7987562,38.22%,445,60,2.67,7.99m,,,01/10/2023,2
46,Shlauffu,7649864,36.41%,446,46,2.56,7.65m,,,01/10/2023,2
88,Nugera,7435088,32.55%,445,91,2.49,7.44m,,,01/10/2023,2
95,Arathil,6637984,26.19%,446,95,2.22,6.64m,,,01/10/2023,2
92,Killeen,4927514,40.90%,445,95,1.65,4.93m,,,01/10/2023,2
66,Owsianko,4918732,16.44%,445,71,1.65,4.92m,,,01/10/2023,2
52,Catherinee,3366700,40.92%,444,60,1.13,3.37m,,,01/10/2023,2
35,Bärman,2759128,37.71%,444,35,0.92,2.76m,,,01/10/2023,2
52,Meeow,2540144,34.52%,447,54,0.85,2.54m,,,01/10/2023,2
43,Pepko,2510702,32.74%,444,45,0.84,2.51m,,,01/10/2023,2
42,Peanutmage,2088771,-,445,41,0.70,2.09m,,,01/10/2023,2
86,Grubi,1992561,9.25%,445,88,0.67,1.99m,,,01/10/2023,2
41,Cebulaczyna,977758,9.68%,445,46,0.33,977.8k,,,01/10/2023,2
74,Nugera,49918407,445,76,90.67%,8.00,49.92m,,01/10/2023,3
87,Owsianko,45522263,445,92,83.43%,7.29,45.52m,,01/10/2023,3
41,Prohus,45004091,445,43,99.26%,7.21,45.00m,,01/10/2023,3
54,Killeen,44996156,445,75,79.97%,7.21,45.00m,,01/10/2023,3
34,Bärman,41470775,444,51,77.08%,6.64,41.47m,,01/10/2023,3
65,Cebulaczyna,40592343,445,73,86.92%,6.50,40.59m,,01/10/2023,3
53,Shlauffu,38830485,446,55,87.35%,6.22,38.83m,,01/10/2023,3
67,Pepko,38271705,444,87,81.17%,6.13,38.27m,,01/10/2023,3
19,Catherinee,37721124,444,32,76.81%,6.04,37.72m,,01/10/2023,3
56,Peanutmage,36853940,445,66,91.06%,5.90,36.85m,,01/10/2023,3
47,Grubi,36843583,445,61,83.40%,5.90,36.84m,,01/10/2023,3
24,Qquo,36172798,445,31,89.88%,5.80,36.17m,,01/10/2023,3
47,Meeow,36000649,447,46,85.08%,5.77,36.00m,,01/10/2023,3
9,Arathil,33292085,446,9,82.34%,5.33,33.29m,,01/10/2023,3
73,Pazuzell,24208193,445,73,80.31%,3.88,24.21m,,01/10/2023,3
24,Klejnotnilu,19311363,445,23,94.17%,3.09,19.31m,,01/10/2023,3
89,Lefox,6614330,444,89,66.08%,1.06,6.61m,,01/10/2023,3
93,Màmbà,6358969,446,94,72.59%,1.02,6.36m,,01/10/2023,3
66,Kryxoria,3529270,445,69,76.40%,0.57,3.53m,,01/10/2023,3
31,Gunqer,2626972,446,29,37.81%,0.42,2.63m,,01/10/2023,3
