Parse %,Name,Amount,Ilvl,Active,CPM,amtPrc,amtDesc,Date,WipeNr
,Arathil,2,446,0.00%,0.5,9.09,2,01/10/2023,1
,Meeow,2,447,0.00%,0.5,9.09,2,01/10/2023,1
,Killeen,2,445,0.00%,0.5,9.09,2,01/10/2023,1
,Cebulaczyna,2,445,1.75%,0.5,9.09,2,01/10/2023,1
,Bärman,2,444,3.29%,0.5,9.09,2,01/10/2023,1
,Owsianko,2,445,0.96%,0.5,9.09,2,01/10/2023,1
,Qquo,2,445,0.00%,0.5,9.09,2,01/10/2023,1
,Shlauffu,2,446,0.00%,0.5,9.09,2,01/10/2023,1
,Gunqer,1,446,0.00%,0.2,4.55,1,01/10/2023,1
,Grubi,1,445,0.00%,0.2,4.55,1,01/10/2023,1
,Prohus,1,445,0.00%,0.2,4.55,1,01/10/2023,1
,Peanutmage,1,445,0.00%,0.2,4.55,1,01/10/2023,1
,Kryxoria,1,445,0.00%,0.2,4.55,1,01/10/2023,1
,Lefox,1,444,0.00%,0.2,4.55,1,01/10/2023,1
,Peanutmage,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Arathil,2,446,0.00%,0.3,7.69,2,01/10/2023,2
,Pepko,2,444,0.00%,0.3,7.69,2,01/10/2023,2
,Prohus,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Qquo,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Meeow,2,447,0.00%,0.3,7.69,2,01/10/2023,2
,Owsianko,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Nugera,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Killeen,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Grubi,2,445,0.00%,0.3,7.69,2,01/10/2023,2
,Bärman,1,444,0.00%,0.2,3.85,1,01/10/2023,2
,Lefox,1,444,0.00%,0.2,3.85,1,01/10/2023,2
,Pazuzell,1,445,0.00%,0.2,3.85,1,01/10/2023,2
,Gunqer,1,446,0.00%,0.2,3.85,1,01/10/2023,2
,Kryxoria,1,445,0.00%,0.2,3.85,1,01/10/2023,2
,Shlauffu,1,446,0.00%,0.2,3.85,1,01/10/2023,2
,Shlauffu,14,446,6.10%,2.9,10.77,14,01/10/2023,3
,Grubi,10,445,9.47%,2.1,7.69,10,01/10/2023,3
,Lefox,10,444,4.54%,2.1,7.69,10,01/10/2023,3
,Peanutmage,10,445,8.11%,2.1,7.69,10,01/10/2023,3
,Bärman,8,444,3.15%,1.7,6.15,8,01/10/2023,3
,Gunqer,8,446,5.60%,1.7,6.15,8,01/10/2023,3
,Killeen,8,445,3.65%,1.7,6.15,8,01/10/2023,3
,Arathil,7,446,0.99%,1.4,5.38,7,01/10/2023,3
,Màmbà,7,446,1.53%,1.4,5.38,7,01/10/2023,3
,Kryxoria,7,445,3.41%,1.4,5.38,7,01/10/2023,3
,Catherinee,6,444,1.75%,1.2,4.62,6,01/10/2023,3
,Qquo,6,445,0.00%,1.2,4.62,6,01/10/2023,3
,Nugera,6,445,1.63%,1.2,4.62,6,01/10/2023,3
,Owsianko,6,445,0.55%,1.2,4.62,6,01/10/2023,3
,Meeow,5,447,0.00%,1.0,3.85,5,01/10/2023,3
,Prohus,5,445,1.06%,1.0,3.85,5,01/10/2023,3
,Pepko,4,444,0.00%,0.8,3.08,4,01/10/2023,3
,Cebulaczyna,3,445,3.00%,0.6,2.31,3,01/10/2023,3
